2024-09-26 07:47:07.707859 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,190, 8,295 
Vàng Kim Bảo 999.9, 8,190, 8,295 
Vàng Phúc Lộc Tài 999.9, 8,190, 8,295 
Vàng nữ trang 999.9, 8,180, 8,260 
Vàng nữ trang 999, 8,172, 8,252 
Vàng nữ trang 99, 8,087, 8,187 
Vàng 750 (18K), 6,070, 6,210 
Vàng 585 (14K), 4,707, 4,847 
Vàng 416 (10K), 3,311, 3,451 
Vàng PNJ - Phượng Hoàng, 8,190, 8,295 
Vàng 916 (22K), 7,526, 7,576 
Vàng 650 (15.6K), 5,244, 5,384 
Vàng 680 (16.3K), 5,492, 5,632 
Vàng 610 (14.6K), 4,914, 5,054 
Vàng 375 (9K), 2,973, 3,113 
Vàng 333 (8K), 2,601, 2,741 
2024-09-26 08:08:08.434234 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,190, 8,295 
Vàng Kim Bảo 999.9, 8,190, 8,295 
Vàng Phúc Lộc Tài 999.9, 8,190, 8,295 
Vàng nữ trang 999.9, 8,180, 8,260 
Vàng nữ trang 999, 8,172, 8,252 
Vàng nữ trang 99, 8,087, 8,187 
Vàng 750 (18K), 6,070, 6,210 
Vàng 585 (14K), 4,707, 4,847 
Vàng 416 (10K), 3,311, 3,451 
Vàng PNJ - Phượng Hoàng, 8,190, 8,295 
Vàng 916 (22K), 7,526, 7,576 
Vàng 650 (15.6K), 5,244, 5,384 
Vàng 680 (16.3K), 5,492, 5,632 
Vàng 610 (14.6K), 4,914, 5,054 
Vàng 375 (9K), 2,973, 3,113 
Vàng 333 (8K), 2,601, 2,741 
2024-09-26 08:23:38.512107 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,190, 8,295 
Vàng Kim Bảo 999.9, 8,190, 8,295 
Vàng Phúc Lộc Tài 999.9, 8,190, 8,295 
Vàng nữ trang 999.9, 8,180, 8,260 
Vàng nữ trang 999, 8,172, 8,252 
Vàng nữ trang 99, 8,087, 8,187 
Vàng 750 (18K), 6,070, 6,210 
Vàng 585 (14K), 4,707, 4,847 
